iter	Passed	Remaining
0	177	177812
1	196	97979
2	215	71674
3	235	58569
4	254	50631
5	274	45468
6	294	41710
7	313	38928
8	332	36650
9	351	34845
10	371	33426
11	391	32218
12	410	31164
13	427	30083
14	445	29272
15	466	28673
16	487	28171
17	507	27661
18	529	27322
19	551	27014
20	572	26679
21	595	26456
22	616	26190
23	636	25900
24	659	25713
25	679	25472
26	700	25244
27	724	25138
28	743	24909
29	764	24715
30	785	24560
31	808	24459
32	829	24307
33	850	24151
34	870	24001
35	890	23852
36	908	23642
37	927	23480
38	946	23334
39	968	23255
40	988	23126
41	1009	23032
42	1031	22950
43	1049	22806
44	1069	22707
45	1089	22598
46	1110	22514
47	1131	22449
48	1153	22394
49	1175	22343
50	1195	22245
51	1218	22221
52	1241	22190
53	1265	22174
54	1289	22163
55	1312	22127
56	1335	22096
57	1361	22112
58	1384	22080
59	1409	22084
60	1431	22039
61	1453	21989
62	1475	21945
63	1496	21885
64	1519	21855
65	1541	21821
66	1564	21790
67	1590	21794
68	1613	21773
69	1639	21780
70	1669	21844
71	1691	21805
72	1714	21772
73	1738	21756
74	1761	21729
75	1782	21673
76	1803	21618
77	1822	21538
78	1842	21480
79	1864	21442
80	1888	21422
81	1908	21367
82	1929	21322
83	1953	21305
84	1980	21324
85	2008	21346
86	2032	21325
87	2054	21294
88	2077	21264
89	2104	21275
90	2129	21267
91	2152	21248
92	2179	21251
93	2200	21204
94	2221	21162
95	2244	21135
96	2265	21093
97	2285	21032
98	2307	20997
99	2326	20940
100	2347	20894
101	2368	20849
102	2389	20807
103	2409	20760
104	2431	20723
105	2453	20691
106	2473	20640
107	2494	20600
108	2516	20571
109	2539	20546
110	2559	20500
111	2581	20469
112	2602	20427
113	2624	20394
114	2647	20373
115	2671	20361
116	2695	20342
117	2717	20313
118	2742	20301
119	2765	20278
120	2788	20254
121	2815	20260
122	2840	20250
123	2863	20232
124	2885	20200
125	2906	20159
126	2928	20129
127	2949	20095
128	2971	20061
129	2991	20018
130	3012	19980
131	3031	19936
132	3051	19889
133	3070	19842
134	3089	19794
135	3107	19744
136	3127	19698
137	3146	19651
138	3165	19608
139	3186	19572
140	3205	19527
141	3225	19486
142	3244	19445
143	3264	19404
144	3284	19365
145	3305	19334
146	3325	19298
147	3345	19258
148	3364	19215
149	3382	19165
150	3400	19120
151	3419	19075
152	3437	19030
153	3455	18980
154	3474	18940
155	3491	18891
156	3512	18861
157	3532	18822
158	3548	18770
159	3570	18747
160	3591	18716
161	3615	18701
162	3637	18677
163	3659	18654
164	3682	18636
165	3703	18604
166	3724	18577
167	3745	18549
168	3766	18521
169	3787	18494
170	3810	18474
171	3830	18441
172	3851	18413
173	3875	18397
174	3897	18375
175	3918	18344
176	3941	18325
177	3963	18301
178	3983	18269
179	4006	18253
180	4028	18229
181	4050	18206
182	4070	18172
183	4090	18141
184	4112	18117
185	4134	18092
186	4155	18068
187	4177	18044
188	4198	18016
189	4220	17994
190	4242	17968
191	4262	17937
192	4284	17915
193	4304	17884
194	4325	17855
195	4345	17826
196	4367	17801
197	4387	17773
198	4410	17752
199	4427	17711
200	4450	17689
201	4471	17663
202	4493	17640
203	4515	17618
204	4536	17591
205	4561	17579
206	4581	17549
207	4603	17530
208	4625	17505
209	4647	17481
210	4668	17458
211	4691	17436
212	4713	17416
213	4735	17394
214	4758	17374
215	4779	17346
216	4800	17321
217	4822	17298
218	4847	17286
219	4867	17258
220	4890	17238
221	4912	17217
222	4934	17194
223	4954	17162
224	4971	17124
225	4989	17088
226	5009	17058
227	5028	17027
228	5050	17004
229	5068	16967
230	5089	16941
231	5106	16904
232	5127	16878
233	5146	16848
234	5168	16824
235	5188	16797
236	5225	16821
237	5245	16792
238	5267	16773
239	5290	16753
240	5313	16734
241	5334	16708
242	5354	16682
243	5373	16650
244	5398	16635
245	5419	16611
246	5440	16586
247	5462	16562
248	5485	16543
249	5508	16526
250	5530	16503
251	5553	16484
252	5572	16453
253	5595	16433
254	5617	16412
255	5638	16388
256	5661	16366
257	5683	16345
258	5704	16321
259	5726	16297
260	5747	16274
261	5769	16251
262	5790	16226
263	5809	16195
264	5830	16172
265	5851	16145
266	5869	16112
267	5889	16087
268	5910	16060
269	5929	16031
270	5950	16007
271	5973	15987
272	5995	15964
273	6015	15937
274	6036	15914
275	6056	15887
276	6078	15866
277	6093	15826
278	6115	15802
279	6135	15778
280	6156	15751
281	6176	15726
282	6196	15698
283	6217	15675
284	6238	15651
285	6260	15630
286	6279	15599
287	6301	15578
288	6322	15553
289	6343	15531
290	6365	15509
291	6380	15470
292	6402	15449
293	6423	15424
294	6445	15404
295	6467	15383
296	6490	15362
297	6513	15344
298	6538	15330
299	6563	15315
300	6584	15291
301	6605	15267
302	6628	15247
303	6654	15234
304	6674	15209
305	6699	15194
306	6722	15174
307	6749	15165
308	6776	15152
309	6800	15136
310	6824	15119
311	6848	15102
312	6871	15081
313	6898	15071
314	6921	15052
315	6941	15025
316	6964	15006
317	6987	14986
318	7011	14967
319	7035	14949
320	7060	14934
321	7084	14917
322	7107	14896
323	7131	14879
324	7157	14864
325	7180	14845
326	7204	14827
327	7231	14816
328	7258	14804
329	7281	14784
330	7306	14766
331	7329	14746
332	7352	14726
333	7376	14709
334	7402	14694
335	7426	14676
336	7443	14644
337	7467	14625
338	7488	14602
339	7509	14577
340	7532	14557
341	7556	14538
342	7579	14517
343	7603	14499
344	7629	14485
345	7652	14464
346	7675	14444
347	7700	14427
348	7725	14410
349	7750	14394
350	7775	14376
351	7799	14358
352	7823	14339
353	7848	14322
354	7870	14299
355	7888	14269
356	7911	14249
357	7933	14227
358	7957	14208
359	7983	14192
360	8007	14173
361	8031	14154
362	8059	14142
363	8083	14123
364	8111	14111
365	8136	14095
366	8162	14078
367	8185	14057
368	8211	14041
369	8235	14021
370	8252	13991
371	8274	13968
372	8297	13948
373	8313	13915
374	8330	13883
375	8346	13851
376	8363	13820
377	8379	13787
378	8395	13756
379	8411	13724
380	8428	13692
381	8444	13661
382	8466	13638
383	8486	13614
384	8510	13594
385	8535	13576
386	8554	13550
387	8576	13527
388	8600	13508
389	8623	13488
390	8645	13466
391	8663	13437
392	8683	13412
393	8699	13380
394	8719	13355
395	8742	13334
396	8757	13302
397	8779	13279
398	8799	13254
399	8816	13224
400	8838	13203
401	8857	13176
402	8879	13154
403	8902	13133
404	8923	13109
405	8938	13077
406	8960	13055
407	8981	13031
408	9003	13009
409	9023	12985
410	9047	12966
411	9062	12934
412	9085	12912
413	9104	12886
414	9126	12865
415	9146	12840
416	9166	12815
417	9185	12788
418	9203	12762
419	9221	12734
420	9244	12714
421	9266	12692
422	9289	12670
423	9311	12649
424	9331	12625
425	9352	12601
426	9374	12579
427	9394	12554
428	9418	12536
429	9438	12511
430	9463	12493
431	9486	12473
432	9509	12452
433	9531	12431
434	9550	12404
435	9571	12381
436	9593	12360
437	9619	12342
438	9646	12326
439	9664	12300
440	9689	12282
441	9712	12261
442	9734	12240
443	9755	12216
444	9776	12192
445	9795	12167
446	9819	12148
447	9841	12125
448	9862	12103
449	9882	12078
450	9904	12056
451	9920	12027
452	9941	12004
453	9963	11982
454	9986	11961
455	10008	11939
456	10027	11914
457	10048	11891
458	10070	11870
459	10089	11844
460	10111	11821
461	10132	11799
462	10148	11769
463	10163	11740
464	10179	11711
465	10195	11683
466	10210	11653
467	10226	11624
468	10241	11595
469	10257	11567
470	10274	11539
471	10291	11512
472	10307	11484
473	10323	11455
474	10338	11427
475	10355	11399
476	10370	11370
477	10386	11342
478	10402	11314
479	10417	11285
480	10433	11257
481	10449	11230
482	10465	11202
483	10480	11173
484	10496	11145
485	10511	11117
486	10526	11088
487	10541	11059
488	10555	11030
489	10570	11002
490	10585	10973
491	10600	10945
492	10615	10916
493	10630	10888
494	10644	10860
495	10659	10831
496	10675	10804
497	10691	10776
498	10706	10749
499	10722	10722
500	10736	10693
501	10751	10666
502	10766	10637
503	10780	10609
504	10796	10582
505	10810	10554
506	10826	10527
507	10840	10499
508	10855	10471
509	10870	10443
510	10885	10416
511	10907	10396
512	10927	10373
513	10948	10351
514	10968	10329
515	10985	10304
516	11006	10283
517	11029	10262
518	11052	10243
519	11067	10216
520	11089	10195
521	11108	10171
522	11130	10151
523	11152	10130
524	11176	10112
525	11201	10093
526	11225	10075
527	11248	10055
528	11270	10034
529	11291	10013
530	11313	9992
531	11328	9965
532	11347	9942
533	11367	9920
534	11387	9897
535	11403	9872
536	11421	9847
537	11437	9822
538	11453	9796
539	11470	9771
540	11488	9747
541	11504	9721
542	11521	9696
543	11536	9670
544	11552	9644
545	11573	9623
546	11593	9601
547	11614	9580
548	11634	9557
549	11654	9535
550	11674	9513
551	11690	9488
552	11707	9463
553	11723	9438
554	11739	9412
555	11757	9389
556	11774	9364
557	11790	9339
558	11807	9315
559	11824	9290
560	11840	9265
561	11855	9240
562	11871	9215
563	11887	9189
564	11903	9164
565	11919	9139
566	11936	9115
567	11951	9090
568	11968	9065
569	11984	9041
570	12000	9016
571	12017	8992
572	12035	8968
573	12051	8944
574	12067	8919
575	12084	8895
576	12100	8871
577	12118	8847
578	12134	8823
579	12152	8799
580	12168	8775
581	12186	8752
582	12203	8728
583	12220	8705
584	12238	8681
585	12254	8657
586	12271	8634
587	12290	8611
588	12306	8587
589	12321	8562
590	12337	8538
591	12353	8514
592	12369	8489
593	12386	8465
594	12401	8441
595	12417	8417
596	12433	8393
597	12450	8369
598	12467	8346
599	12484	8322
600	12500	8299
601	12516	8274
602	12532	8251
603	12548	8227
604	12564	8203
605	12579	8179
606	12597	8156
607	12613	8132
608	12629	8108
609	12644	8084
610	12660	8060
611	12676	8036
612	12691	8012
613	12706	7988
614	12721	7963
615	12736	7939
616	12752	7915
617	12768	7892
618	12784	7868
619	12800	7845
620	12816	7822
621	12832	7798
622	12848	7775
623	12864	7751
624	12879	7727
625	12895	7704
626	12910	7680
627	12926	7656
628	12941	7633
629	12957	7609
630	12972	7586
631	12988	7563
632	13004	7539
633	13020	7516
634	13035	7492
635	13051	7469
636	13067	7446
637	13082	7422
638	13097	7399
639	13112	7376
640	13128	7352
641	13145	7330
642	13170	7312
643	13192	7292
644	13208	7270
645	13229	7249
646	13254	7231
647	13275	7211
648	13300	7193
649	13322	7173
650	13344	7153
651	13364	7133
652	13380	7110
653	13401	7089
654	13417	7067
655	13432	7043
656	13447	7020
657	13463	6997
658	13478	6974
659	13495	6952
660	13510	6929
661	13525	6905
662	13542	6883
663	13559	6861
664	13575	6838
665	13591	6816
666	13608	6793
667	13622	6770
668	13638	6747
669	13654	6725
670	13669	6702
671	13686	6680
672	13701	6657
673	13716	6634
674	13732	6612
675	13747	6589
676	13763	6566
677	13778	6543
678	13794	6521
679	13810	6498
680	13826	6476
681	13843	6455
682	13860	6433
683	13876	6410
684	13891	6388
685	13907	6365
686	13922	6343
687	13938	6321
688	13954	6298
689	13970	6276
690	13988	6255
691	14003	6232
692	14020	6211
693	14037	6189
694	14053	6167
695	14070	6145
696	14086	6123
697	14102	6101
698	14118	6079
699	14134	6057
700	14150	6035
701	14166	6013
702	14181	5991
703	14198	5969
704	14214	5947
705	14230	5925
706	14246	5904
707	14262	5882
708	14277	5860
709	14292	5837
710	14308	5815
711	14324	5794
712	14340	5772
713	14357	5750
714	14375	5730
715	14391	5708
716	14407	5686
717	14422	5664
718	14438	5643
719	14455	5621
720	14471	5600
721	14487	5578
722	14502	5556
723	14518	5534
724	14534	5513
725	14550	5491
726	14566	5469
727	14582	5448
728	14597	5426
729	14612	5404
730	14628	5383
731	14643	5361
732	14662	5341
733	14678	5319
734	14697	5299
735	14713	5277
736	14728	5256
737	14744	5234
738	14759	5212
739	14775	5191
740	14790	5169
741	14806	5148
742	14821	5126
743	14839	5106
744	14856	5085
745	14872	5063
746	14888	5042
747	14908	5022
748	14928	5002
749	14950	4983
750	14967	4962
751	14983	4941
752	15000	4920
753	15016	4899
754	15036	4879
755	15051	4857
756	15072	4838
757	15087	4816
758	15110	4797
759	15127	4777
760	15147	4757
761	15169	4738
762	15184	4716
763	15201	4695
764	15218	4674
765	15235	4654
766	15255	4634
767	15276	4614
768	15293	4594
769	15314	4574
770	15329	4553
771	15344	4531
772	15359	4510
773	15375	4489
774	15392	4468
775	15408	4447
776	15423	4426
777	15444	4406
778	15461	4386
779	15477	4365
780	15492	4344
781	15507	4323
782	15523	4302
783	15538	4280
784	15552	4259
785	15569	4238
786	15585	4218
787	15604	4198
788	15621	4177
789	15639	4157
790	15660	4137
791	15682	4118
792	15699	4098
793	15724	4079
794	15749	4061
795	15770	4041
796	15793	4022
797	15807	4001
798	15821	3980
799	15837	3959
800	15852	3938
801	15866	3917
802	15880	3895
803	15894	3874
804	15909	3853
805	15924	3832
806	15938	3811
807	15954	3791
808	15968	3770
809	15982	3749
810	15996	3727
811	16010	3706
812	16024	3685
813	16039	3664
814	16053	3643
815	16066	3622
816	16081	3601
817	16094	3581
818	16109	3560
819	16123	3539
820	16138	3518
821	16153	3497
822	16169	3477
823	16184	3456
824	16198	3435
825	16211	3415
826	16226	3394
827	16241	3373
828	16254	3352
829	16268	3332
830	16283	3311
831	16297	3290
832	16310	3270
833	16324	3249
834	16338	3228
835	16352	3207
836	16367	3187
837	16381	3166
838	16395	3146
839	16410	3125
840	16425	3105
841	16440	3085
842	16455	3064
843	16469	3044
